droneId,timestamp,eventType,statusCode,batteryPct,lat,lon,altitudeM,speedMps
DRONE-003,2026-09-01T09:00:00.000Z,BATTERY_LOW,200,95,54.6305,-5.90625,100,12.3
DRONE-001,2026-09-01T09:00:47.000Z,LANDING,200,92.9,54.56122,-5.96294,63,16
DRONE-004,2026-09-01T09:01:34.000Z,DELIVERY_FAILED,503,90.8,54.58625,-5.95934,48,14.8
DRONE-005,2026-09-01T09:02:21.000Z,MOTOR_FAULT,500,88.7,54.5934,-5.95636,107,4.5
DRONE-005,2026-09-01T09:03:08.000Z,DELIVERY_FAILED,503,86.6,54.6217,-5.97629,67,11.8
DRONE-002,2026-09-01T09:03:55.000Z,TAKEOFF,200,84.5,54.5977,-5.89789,62,10.2
DRONE-003,2026-09-01T09:04:42.000Z,TAKEOFF,200,82.4,54.60171,-5.91192,96,14.2
DRONE-002,2026-09-01T09:05:29.000Z,MOTOR_FAULT,500,80.3,54.62417,-5.93875,113,5.7
DRONE-002,2026-09-01T09:06:16.000Z,MOTOR_FAULT,500,78.2,54.55871,-5.93145,42,5.8
DRONE-002,2026-09-01T09:07:03.000Z,GPS_SIGNAL_LOST,502,76.1,54.58334,-5.91639,99,11
DRONE-004,2026-09-01T09:07:50.000Z,MOTOR_FAULT,500,74,54.6069,-5.97944,62,5
DRONE-005,2026-09-01T09:08:37.000Z,GPS_SIGNAL_LOST,502,71.9,54.57643,-5.8924,58,9.1
DRONE-001,2026-09-01T09:09:24.000Z,TAKEOFF,200,69.8,54.56906,-5.94742,83,15.9
DRONE-002,2026-09-01T09:10:11.000Z,DELIVERY_COMPLETED,200,67.7,54.58569,-5.91454,73,4.3
DRONE-003,2026-09-01T09:10:58.000Z,DELIVERY_FAILED,503,65.6,54.62367,-5.96959,95,10.4
DRONE-004,2026-09-01T09:11:45.000Z,DELIVERY_FAILED,503,63.5,54.5962,-5.94,59,4.1
DRONE-003,2026-09-01T09:12:32.000Z,ROUTE_ADJUSTED,200,61.4,54.58044,-5.87154,106,11.1
DRONE-005,2026-09-01T09:13:19.000Z,TAKEOFF,200,59.3,54.60409,-5.91866,50,5.2
DRONE-004,2026-09-01T09:14:06.000Z,MOTOR_FAULT,500,57.2,54.59451,-5.89646,91,14.4
DRONE-001,2026-09-01T09:14:53.000Z,DELIVERY_COMPLETED,200,55.1,54.59387,-5.98198,112,8.1
DRONE-003,2026-09-01T09:15:40.000Z,DELIVERY_FAILED,503,53,54.56272,-5.9792,83,9.4
DRONE-001,2026-09-01T09:16:27.000Z,GPS_SIGNAL_LOST,502,50.9,54.63319,-5.87784,89,11.5
DRONE-003,2026-09-01T09:17:14.000Z,LANDING,200,48.8,54.59859,-5.96229,58,5.1
DRONE-005,2026-09-01T09:18:01.000Z,ROUTE_ADJUSTED,200,46.7,54.60805,-5.96236,96,7.5
DRONE-005,2026-09-01T09:18:48.000Z,DELIVERY_FAILED,503,44.6,54.57788,-5.9824,84,13.2
DRONE-002,2026-09-01T09:19:35.000Z,BATTERY_LOW,200,42.5,54.61841,-5.87738,54,4.4
DRONE-001,2026-09-01T09:20:22.000Z,ROUTE_ADJUSTED,200,40.4,54.59341,-5.96115,102,7.1
DRONE-001,2026-09-01T09:21:09.000Z,TAKEOFF,200,38.3,54.58467,-5.98478,105,4.1
DRONE-001,2026-09-01T09:21:56.000Z,MOTOR_FAULT,500,36.2,54.61346,-5.96687,102,7.8
DRONE-003,2026-09-01T09:22:43.000Z,DELIVERY_COMPLETED,200,34.1,54.59144,-5.90698,98,12.1
DRONE-002,2026-09-01T09:23:30.000Z,DELIVERY_COMPLETED,200,32,54.60568,-5.89509,113,8.7
DRONE-001,2026-09-01T09:24:17.000Z,TAKEOFF,200,29.9,54.62854,-5.92325,86,14.8
DRONE-005,2026-09-01T09:25:04.000Z,MOTOR_FAULT,500,27.8,54.62663,-5.98411,72,8.8
DRONE-003,2026-09-01T09:25:51.000Z,TAKEOFF,200,25.7,54.61156,-5.91644,107,12.1
DRONE-001,2026-09-01T09:26:38.000Z,BATTERY_LOW,200,23.6,54.62293,-5.92228,65,6
DRONE-001,2026-09-01T09:27:25.000Z,SENSOR_READING,200,21.5,54.57216,-5.90544,46,6
DRONE-001,2026-09-01T09:28:12.000Z,DELIVERY_FAILED,503,19.4,54.57126,-5.98965,52,14.1
DRONE-002,2026-09-01T09:28:59.000Z,DELIVERY_FAILED,503,17.3,54.58774,-5.90765,70,11.5
DRONE-004,2026-09-01T09:29:46.000Z,MOTOR_FAULT,500,15.2,54.59004,-5.9895,44,4.4
DRONE-003,2026-09-01T09:30:33.000Z,DELIVERY_COMPLETED,200,13.1,54.57158,-5.90056,95,8.7
