droneId,timestamp,eventType,statusCode,batteryPct,lat,lon,altitudeM,speedMps
DRONE-001,2026-09-02T09:00:00.000Z,DELIVERY_COMPLETED,200,78.5,54.59730,-5.93010,85,9.4
,2026-09-02T09:01:00.000Z,TAKEOFF,200,77.0,54.59740,-5.93020,40,3.1
DRONE-002,not-a-real-timestamp,SENSOR_READING,200,64.2,54.60100,-5.92500,70,7.7
DRONE-003,2026-09-02T09:03:00.000Z,SENSOR_READING,200,4000,54.60200,-5.92600,72,8.1
DRONE-004,2026-09-02T09:04:00.000Z,SENSOR_READING,200,55.5,999,-5.92700,74,8.3
DRONE-005,2026-09-02T09:05:00.000Z,LANDING
DRONE-001,2026-09-02T09:06:00.000Z,PARACHUTE_DEPLOYED,200,52.0,54.59800,-5.93100,12,1.2
DRONE-002,2026-09-02T09:07:00.000Z,SENSOR_READING,,,,,,
DRONE-003,1788000000,ROUTE_ADJUSTED,200,48.9,54.60300,-5.92800,66,10.2
DRONE-004,2099-01-01T00:00:00.000Z,SENSOR_READING,200,45.0,54.60400,-5.92900,68,9.9
DRONE-005,2026-09-02T09:10:00.000Z,MOTOR_FAULT,500,41.3,54.60500,-5.93000,0,0.0
DRONE-001,2026-09-02T09:00:00.000Z,DELIVERY_COMPLETED,200,78.5,54.59730,-5.93010,85,9.4
DRONE-002,2026-09-02T09:12:00.000Z,DELIVERY_COMPLETED,200,38.7,54.59900,-5.93200,80,8.8
